tow_date,tow_reason,storage_company,street,city,geo_location,longitude,latitude,location,block,hh_income,pop_total,pop_black,state,tract
2020-07-03,PRV,Prestigue,430 Allied Pl,Gaithersburg,POINT (-77.16 39.161),-77.16,39.161,"(39.161, -77.16)",7001051,50977,1693,416,24,700105
2020-07-24,PKG,Prestige,430 Allied Pl,Gaithersburg,POINT (-77.16 39.161),-77.16,39.161,"(39.161, -77.16)",7001051,50977,1693,416,24,700105
2020-07-24,PRV,Prestige,430 Allied Pl,Gaithersburg,POINT (-77.16 39.161),-77.16,39.161,"(39.161, -77.16)",7001051,50977,1693,416,24,700105
2020-07-01,PKG,Custom Towing,7601 Airpark Rd,Gaithersburg,POINT (-77.155114 39.169732),-77.155114,39.169732,"(39.169732, -77.155114)",7001051,50977,1693,416,24,700105
2020-07-24,PKG,Prestige,430 Allied Pl,Gaithersburg,POINT (-77.16 39.161),-77.16,39.161,"(39.161, -77.16)",7001051,50977,1693,416,24,700105
2020-07-24,NOP,Prestige,430 Allied Pl,Gaithersburg,POINT (-77.16 39.161),-77.16,39.161,"(39.161, -77.16)",7001051,50977,1693,416,24,700105
2020-07-27,NOP,Prestige,430 Allied Pl,Gaithersburg,POINT (-77.16 39.161),-77.16,39.161,"(39.161, -77.16)",7001051,50977,1693,416,24,700105
2020-10-11,PRV,Prestige,430 Allied Pl,Gaithersburg,POINT (-77.16 39.161),-77.16,39.161,"(39.161, -77.16)",7001051,50977,1693,416,24,700105
2020-10-11,NOP,Diversified,18920 Premiere Ct,Gaithersburg,POINT (-77.16716 39.166615),-77.16716,39.166615,"(39.166615, -77.16716)",7001051,50977,1693,416,24,700105
2020-10-03,N,Diversified,18920 Premiere Ct,Gaithersburg,POINT (-77.16716 39.166615),-77.16716,39.166615,"(39.166615, -77.16716)",7001051,50977,1693,416,24,700105
2020-08-03,NOP,Prestige,430 Allied Pl,Gaithersburg,POINT (-77.16 39.161),-77.16,39.161,"(39.161, -77.16)",7001051,50977,1693,416,24,700105
2020-08-30,PKG,Prestige,430 Allied Pl,Gaithersburg,POINT (-77.16 39.161),-77.16,39.161,"(39.161, -77.16)",7001051,50977,1693,416,24,700105
2020-08-24,PKG,Prestige,430 Allied Pl,Gaithersburg,POINT (-77.16 39.161),-77.16,39.161,"(39.161, -77.16)",7001051,50977,1693,416,24,700105
2020-08-05,NOP,Prestige,430 Allied Pl,Gaithersburg,POINT (-77.16 39.161),-77.16,39.161,"(39.161, -77.16)",7001051,50977,1693,416,24,700105
2020-08-07,PRV,Henrys,7901 Cessna Ave,Gaithersburg,POINT (-77.160913 39.171825),-77.160913,39.171825,"(39.171825, -77.160913)",7001051,50977,1693,416,24,700105
2020-10-08,PRV,Prestige,430 Allied Pl,Gaithersburg,POINT (-77.16 39.161),-77.16,39.161,"(39.161, -77.16)",7001051,50977,1693,416,24,700105
2020-10-11,PRV,Prestige,430 Allied Pl,Gaithersburg,POINT (-77.16 39.161),-77.16,39.161,"(39.161, -77.16)",7001051,50977,1693,416,24,700105
2020-12-07,REPO,Other,7330 Brenish Dr,Gaithersburg,POINT (-77.154768 39.176454),-77.154768,39.176454,"(39.176454, -77.154768)",7001051,50977,1693,416,24,700105
2020-12-15,REPO,Final Notice,18625 Mooney Dr,Gaithersburg,POINT (-77.165406 39.162537),-77.165406,39.162537,"(39.162537, -77.165406)",7001051,50977,1693,416,24,700105
2020-12-29,REPO,Final Notice,434 Allied Pl,Gaithersburg,POINT (-77.16 39.161),-77.16,39.161,"(39.161, -77.16)",7001051,50977,1693,416,24,700105
2020-12-13,REPO,,7881 Beechcraft Ave,Gaithersburg,POINT (-77.16163 39.163076),-77.16163,39.163076000000004,"(39.163076, -77.16163)",7001051,50977,1693,416,24,700105
2020-12-13,REPO,,7881 Beechcraft Ave,Gaithersburg,POINT (-77.16163 39.163076),-77.16163,39.163076000000004,"(39.163076, -77.16163)",7001051,50977,1693,416,24,700105
2021-01-17,PRV,Prestige,430 Allied Pl,Gaithersburg,POINT (-77.16 39.161),-77.16,39.161,"(39.161, -77.16)",7001051,50977,1693,416,24,700105
2021-02-23,PRV,Diversified,18904 Premiere Ct,Gaithersburg,POINT (-77.166893 39.166893),-77.166893,39.166893,"(39.166893, -77.166893)",7001051,50977,1693,416,24,700105
2021-01-19,REPO,Final Notice,19310 Woodfield Rd,Gaithersburg,POINT (-77.152186 39.173073),-77.152186,39.173072999999995,"(39.173073, -77.152186)",7001051,50977,1693,416,24,700105
2021-01-21,REPO,Thomas Rec,8355 Snouffer School Rd,Gaithersburg,POINT (-77.171233 39.166573),-77.171233,39.166573,"(39.166573, -77.171233)",7001051,50977,1693,416,24,700105
